,Entity,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Daily tests,Cases,Deaths,Population density per km2,Gini
32,Greece,17,0.6242820958356683,0.7965743332104297,4.291868135214645,7.031829263374988,45,22,4.489184774579998,5.005553708039796,3.3226327116922234,1.9113707071161379,34.3
33,Guatemala,24,-0.2218487496163564,-0.045757490560675115,3.6646419755561257,7.228233564783758,22,5,3.5482665451707454,5.083258887879517,3.617105230502378,2.191255342246265,55.9
34,Hungary,12,0.8463371121298052,0.4899584794248346,4.223542664693227,6.990388897904406,43,19,4.322343361148676,5.297629218364148,3.6398847419163043,2.02180927702234,31.2
35,Iceland,2,0.4638929889859073,0.5786392099680724,4.825716848427749,5.533115928259325,37,15,3.0199466816788423,3.7280289544205183,1.414973347970818,0.5198279937757188,37.85
36,India,25,-0.27572413039921095,-0.11918640771920865,3.322136564096103,9.126838995907342,28,6,6.053540932144882,6.970863119323807,5.134177107576766,2.6099997038422305,33.4
37,Indonesia,26,0.01703333929878037,-0.6989700043360187,3.616538526654169,8.421589744620356,29,6,4.595881845162044,5.718153615599573,4.218036331200945,2.14035088925253,34.0
38,Iran,20,0.17609125905568124,0.17318626841227402,3.7443008081779805,7.90935695694459,32,6,0.0,5.964917881791451,4.672974801233433,1.697490887171057,38.3
39,Iraq,24,0.146128035678238,-0.07058107428570728,3.7748890586959662,7.582910864913866,20,3,4.473589144981379,5.738157993551137,4.085183508052778,1.9443839576408442,30.9
40,Ireland,9,0.4712917110589386,0.4712917110589386,4.895759463199095,6.682470720262096,38,14,4.032538179260007,4.855513098519816,3.3102683666324477,1.8386602259889415,34.3
41,Israel,21,0.4756711883244297,0.5538830266438743,4.639407791165973,6.940137806348829,30,12,4.688882348427025,5.524172750317571,3.4542348957482654,2.59630013460261,39.2
42,Italy,14,0.5024271199844327,0.60422605308447,4.5215068158125495,7.782124303611125,47,23,5.347921034233622,6.187017606762417,4.729788235181539,2.3020060605865402,36.0
43,Jamaica,27,0.2304489213782739,-0.3279021420642826,3.7468131723252345,6.460942772629624,31,9,2.8573324964312685,4.02530586526477,2.3979400086720375,2.4199392350776416,45.5
44,Japan,12,1.1156105116742998,0.37474834601010387,4.604732434648182,8.103070605044056,48,28,4.6369991200238285,5.154661294172182,3.3070679506612985,2.52565368868682,38.1
45,Jordan,21,0.146128035678238,0.5352941200427705,3.6439952055784817,6.986877071481883,23,4,4.41924510416498,5.317229441148655,3.4099331233312946,2.035949779536674,35.4
46,Kazakhstan,8,0.8260748027008264,0.5145477526602861,3.9917752437997307,7.2561798593746065,30,7,4.589681573453446,5.2350105197745656,3.3854275148051305,0.8208579894396999,29.0
47,Kenya,24,0.146128035678238,-0.6989700043360187,3.2592354021987333,7.6963551828435595,20,2,0.0,4.9119881017628835,3.1586639808139894,1.9240724299103629,47.7
48,Kuwait,27,0.3010299956639812,0.41664050733828095,4.505155406967001,6.6166359683961,33,3,3.8309733973226505,5.15190893563289,2.941511432634403,2.365768688002193,37.85
49,Latvia,7,0.7458551951737289,0.5065050324048721,4.2511245490829825,6.287967357063455,43,20,3.856910060300786,4.198876927243553,2.278753600952829,1.4778444763387584,36.6
50,Libya,24,0.568201724066995,0.32014628611105395,3.885694729629928,6.804454028462237,29,4,0.0,4.90994629099928,3.061829307294699,0.5797835966168101,37.85
51,Lithuania,7,0.8169038393756602,0.6414741105040995,4.2922981692913345,6.451436557127038,43,20,4.167080919673256,4.748846724209901,2.739572344450092,1.6365881837298424,37.6
52,Luxembourg,9,0.6541765418779605,0.4653828514484183,5.059580834767512,5.777752240044127,39,14,4.064195835864643,4.523863476506689,2.4771212547196626,2.365132166964691,30.8
53,Madagascar,22,-0.6989700043360187,-0.8538719643217619,2.7188337183038622,7.4077459289164,19,3,0.0,4.239074138235893,2.399673721481038,1.6388884247050755,44.1
54,Malawi,21,0.11394335230683679,-1.6989700043360187,2.6144753660903954,7.270028747749947,18,3,0.0,3.7798849631926443,2.2671717284030137,2.1963696531676087,39.0
55,Malaysia,26,0.2787536009528289,0.1846914308175988,4.057445478002268,7.500020426849228,29,7,4.280646650296195,4.791416936213097,2.5440680443502757,1.9810934231459298,46.2
56,Malta,19,0.6522463410033232,0.5921767573958668,4.474516377348622,5.66772558555342,42,20,3.4578818967339924,3.9777693180915743,2.1072099696478683,3.169415778467581,37.85
57,Mauritania,29,-0.3979400086720376,-1.154901959985743,3.225154148849806,6.645440348200093,20,3,0.0,3.9255183581774302,2.2355284469075487,0.6324572921847242,40.5
58,Mexico,22,0.13987908640123647,0.34830486304816066,3.9976484548962063,8.111139051602787,29,7,4.356427441692355,6.03769535853163,5.020663691622254,1.8178957571617955,47.0
59,Mongolia,2,0.8450980400142568,0.5132176000679389,3.63746971548076,6.487936488883153,28,4,4.256019813380122,2.8808135922807914,0.0,0.2944662261615929,36.5
60,Morocco,19,0.04139268515822508,-0.20760831050174613,3.505706061959786,7.553149444511143,29,7,4.342758142419291,5.5381663917586375,3.7550359337677714,1.9032528168939584,40.9
61,Mozambique,23,-0.1549019599857432,-1.2218487496163564,2.702085721435825,7.472300478662093,17,3,3.1755118133634475,4.190499779633488,2.1072099696478683,1.5694909543487832,45.7
62,Myanmar,25,-0.045757490560675115,-0.24412514432750865,3.1485409608672295,7.727302158468389,29,6,4.3035848038124636,4.937683353772049,3.2706788361447066,1.8969669019331548,37.85
63,Namibia,21,0.43136376415898736,-0.431798275933005,3.6952627228773403,6.403771303404582,22,4,3.1386184338994925,4.152502380461126,2.173186268412274,0.48713837547718647,63.9
64,Nepal,15,-0.5228787452803376,-0.2218487496163564,3.0298300193106584,7.46694169607802,25,6,4.019531684531255,5.360485489147456,3.156851901070011,2.299093072361705,32.8
65,New Zealand,11,0.41664050733828095,0.48572142648158,4.624121139791669,6.6806889704775365,37,16,3.8723893884178207,3.311753861055754,1.3979400086720377,1.252367514459899,36.2
66,Nigeria,28,-0.3010299956639812,-0.3979400086720376,3.348285387522612,8.280774785018464,18,3,0.0,4.827498508133458,3.068556895072363,2.315214393165261,48.8
67,Norway,1,0.5563025007672873,0.6414741105040995,4.877484224724952,6.722816731900274,39,17,4.202733458045444,4.546456289509601,2.515873843711679,1.1360860973840974,25.8
68,Oman,28,0.2041199826559248,0.28330122870354957,4.185913115602316,6.666167970419069,30,2,0.0,5.088416074054324,3.143327129992046,1.1755118133634477,37.85
